Date,Afirme Bajio,Azteca,Banamex,Bancomer,Banorte Generali,Coppel,HSBC,Inbursa,Invercap,Metlife,PensionISSSTE,Principal,Profuturo GNP,SURA,XXI Banorte
2/1/15,NA,8.45,11.07,NA,NA,7.82,NA,6.14,10.12,10.33,10.79,9.57,10.98,12.13,9.95
3/1/15,NA,8.41,11.01,NA,NA,7.80,NA,6.05,9.93,10.23,10.67,9.46,10.93,12.08,9.84
4/1/15,NA,8.46,11.05,NA,NA,7.85,NA,6.00,9.88,10.23,10.63,9.45,10.98,12.15,9.85
5/1/15,NA,8.46,11.02,NA,NA,7.86,NA,5.92,9.80,10.16,10.53,9.38,10.94,12.10,9.77
6/1/15,NA,8.42,10.96,NA,NA,7.84,NA,5.83,9.70,10.06,10.41,9.30,10.85,12.01,9.68
7/1/15,NA,8.33,10.87,NA,NA,7.79,NA,5.75,9.54,9.91,10.21,9.17,10.71,11.84,9.56
8/1/15,NA,8.24,10.74,NA,NA,7.73,NA,5.66,9.39,9.76,10.05,9.07,10.57,11.63,9.40
9/1/15,NA,8.12,10.54,NA,NA,7.64,NA,5.58,9.19,9.56,9.91,8.95,10.39,11.34,9.20
10/1/15,NA,7.97,10.31,NA,NA,7.55,NA,5.49,8.95,9.34,9.76,8.82,10.21,11.03,8.99
11/1/15,NA,7.87,10.15,NA,NA,7.47,NA,5.42,8.76,9.18,9.64,8.73,10.09,10.82,8.84
12/1/15,NA,7.74,9.95,NA,NA,7.37,NA,5.30,8.55,8.97,9.51,8.60,9.93,10.56,8.65
1/1/16,NA,7.59,9.69,NA,NA,7.26,NA,5.16,8.32,8.73,9.37,8.43,9.73,10.23,8.42
